date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:56	159/159	---MCZ	200	added ('OK')	application/javascript	etag:W/%22142ea25618f9d51:0%22	https://www.greetingsisland.com/Scripts/gi/web-components/gicomponents/gicomponents.esm.js?v3	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/gi/web-components/gicomponents/gicomponents.esm43a0.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:56	2527/2527	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8ccaeced14bd71:0%22	https://www.greetingsisland.com/Scripts/dist/runtime-bundle-8d1c6ba2792ccd32ff98.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/dist/runtime-bundle-8d1c6ba2792ccd32ff98.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:58	540003/540003	---M-Z	200	added ('OK')	application/javascript	etag:%220e72b87764dd71:0%22	https://www.greetingsisland.com/Scripts/dist/vendors-chunk-dc10f4d581b0dab7f772.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/dist/vendors-chunk-dc10f4d581b0dab7f772.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:58	55344/55344	---M-Z	200	added ('OK')	application/javascript	etag:%22023dc61ad86d71:0%22	https://www.greetingsisland.com/Scripts/dist/main-chunk-be06d98faa3b4154b291.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/dist/main-chunk-be06d98faa3b4154b291.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:00	25572/25572	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2028%20Aug%202021%2007:25:51%20GMT	https://www.greetingsisland.com/bundles/3dcard.js?v=HXfNnW1x__ai5rkaEpI0SKhZu-kp-BzrS2J81LVUSvc1	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/bundles/3dcard69f0.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:01	307876/307876	---M-Z	200	added ('OK')	application/javascript	etag:%22049ae343b3d51:0%22	https://www.greetingsisland.com/Scripts/jspdf.min.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/jspdf.min.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:02	9476/9476	---M-Z	200	added ('OK')	application/javascript	etag:%22809c667125dd71:0%22	https://www.greetingsisland.com/Scripts/gi/gi.cardDownload.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/gi/gi.cardDownload.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:02	49068/49068	---M-Z	200	added ('OK')	application/javascript	etag:%228031f47758fd31:0%22	https://www.greetingsisland.com/Scripts/slick.min.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/slick.min.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:04	19987/19987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc904f41324148b571599b3b02fdec0b%22	https://static.zdassets.com/ekr/snippet.js?key=89493632-48dc-4ac5-bbd6-1e02da07c16b	C:/My%20Web%20Sites/pu%20bir/static.zdassets.com/ekr/snippete409.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:05	13614/13614	---MCZ	200	added ('OK')	text/javascript	etag:W/2021.5.3	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/pu%20bir/static.cloudflareinsights.com/beacon.min.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:26:05	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22ffd9d9ffc120d31:0%22	https://www.greetingsisland.com/Content/css/ajax-loader.gif	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Content/css/ajax-loader.gif	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:06	609/609	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ffd9d9ffc120d31:0%22	https://www.greetingsisland.com/content/css/slider-arrows.svg	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/slider-arrows.svg	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:07	29037/29037	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22ffd9d9ffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.eot	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0.eot	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:08	29037/29037	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22ffd9d9ffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.eot?	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0d41d.eot	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:09	26202/26202	---M--	200	added ('OK')	application/font-woff2	etag:%225f3cdcffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.woff2	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0.woff2	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:10	36944/36944	---MCZ	200	added ('OK')	font/x-woff	etag:W/%225f3cdcffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.woff	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0.woff	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:12	85320/85320	---M--	200	added ('OK')	application/octet-stream	etag:%225f3cdcffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.ttf	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0.ttf	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:13	113260/113260	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ffd9d9ffc120d31:0%22	https://www.greetingsisland.com/content/css/webfonts/32985D_0_0.svg	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/content/css/webfonts/32985D_0_0.svg	(from https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1)
13:26:14	62715/62715	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2007:26:05%20GMT	https://www.greetingsisland.com/eCard/c	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/eCard/c.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:26:14	62714/62714	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2007:26:05%20GMT	https://www.greetingsisland.com/eCard/b	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/eCard/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:26:15	0/-1	---M--	301	error ('')			http://www-greetingsisland-com.videoplayerhub.com/galleryloader.js	C:/My%20Web%20Sites/pu%20bir/www-greetingsisland-com.videoplayerhub.com/galleryloader.31.delayed	(from https://www.greetingsisland.com/eCard/c)
13:26:15	62714/62714	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2007:26:06%20GMT	https://www.greetingsisland.com/eCard/POST	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/eCard/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:26:16	54056/54056	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Aug%202021%2007:26:07%20GMT	https://www.greetingsisland.com/Content/css/3dcards-0.css	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Content/css/3dcards-0.css	(from https://www.greetingsisland.com/eCard/c)
13:26:17	0/-1	---M--	301	error ('')			http://www-greetingsisland-com.videoplayerhub.com/galleryloader.js	C:/My%20Web%20Sites/pu%20bir/www-greetingsisland-com.videoplayerhub.com/galleryloader.33.delayed	(from https://www.greetingsisland.com/eCard/b)
13:26:17	0/-1	---M--	301	error ('')			http://www-greetingsisland-com.videoplayerhub.com/galleryloader.js	C:/My%20Web%20Sites/pu%20bir/www-greetingsisland-com.videoplayerhub.com/galleryloader.34.delayed	(from https://www.greetingsisland.com/eCard/POST)
